Language,Speaker,Task,Dial_List,Accent,Sentence,VQ,Vowel_type,Vowel,seg_Start,seg_End,H1_Mean,H1_1,H1_2,H1_3,H2_Mean,H2_1,H2_2,H2_3,H1H2_Mean,H1H2_1,H1H2_2,H1H2_3,H2H4_Mean,H2H4_1,H2H4_2,H2H4_3,H1A1_Mean,H1A1_1,H1A1_2,H1A1_3,H1A2_Mean,H1A2_1,H1A2_2,H1A2_3,H1A3_Mean,H1A3_1,H1A3_2,H1A3_3,CPP_Mean,CPP_1,CPP_2,CPP_3,F0_Mean,F0_1,F0_2,F0_3,CQ_H_Mean,CQ_H_1,CQ_H_2,CQ_H_3,peak_Vel_Mean,peak_Vel_1,peak_Vel_2,peak_Vel_3
English,S10,Reading,American,American,P27,C,Low,LOT,1444.256,1639.892,8.061,10.444,10.009,3.743,0.233,3.940,2.887,-6.091,7.828,6.504,7.122,9.833,9.708,15.395,9.585,4.215,29.914,30.601,30.747,28.399,31.403,33.854,32.208,28.140,20.384,21.828,21.669,17.660,21.874,23.521,24.264,17.856,149.731,161.918,146.395,140.756,0.829,0.805,0.824,0.881,170.273,193.222,167.783,135.276
English,S10,Reading,American,American,P5,M,High,KIT,1313.890,1412.282,4.835,4.773,6.359,3.510,-1.697,-1.486,1.262,-4.620,6.532,6.259,5.096,8.130,1.214,0.397,1.641,1.683,16.975,18.804,15.321,16.678,12.802,15.505,11.948,10.901,19.346,16.859,17.726,23.329,22.146,19.750,24.158,22.692,134.728,145.346,135.173,123.742,0.837,0.829,0.836,0.845,133.602,140.925,136.748,124.242
English,S10,Reading,American,American,P6,C,Low,TRAP,1224.108,1452.744,3.504,9.331,7.568,-6.366,-1.145,3.216,0.765,-7.322,4.649,6.115,6.803,0.956,6.363,5.243,7.490,6.396,22.055,21.020,26.050,19.076,22.045,20.232,26.488,19.357,19.410,17.438,25.870,14.889,21.239,25.838,22.236,15.748,136.747,141.189,133.860,135.200,0.835,0.828,0.851,0,139.882,147.236,124.969,0
English,S10,Reading,American,American,P7,C,High,FLEECE,1369.294,1605.299,5.720,6.634,8.482,2.030,-1.605,-2.221,-0.794,-1.680,7.325,8.855,9.276,3.710,-0.188,0.579,-2.622,1.512,11.854,14.549,15.980,4.973,12.745,13.430,12.489,12.235,8.695,8.921,9.643,7.508,20.065,19.669,22.889,17.662,140.924,147.135,141.865,133.712,0.822,0.806,0.811,0.871,198.589,195.985,209.492,182.917
French,S10,Reading,American,American,P10,C,High,RUE,1122.152,1290.487,6.159,9.888,8.262,0.395,-5.504,-3.770,-6.650,-6.110,11.662,13.659,14.912,6.505,3.557,5.927,3.281,1.474,22.057,26.176,27.061,13.131,22.902,26.976,23.618,18.166,29.560,39.604,33.670,15.557,19.006,21.965,19.960,15.152,156.601,143.853,140.179,185.166,0.823,0.814,0.830,0.835,143.302,155.664,137.127,121.650
French,S10,Reading,American,American,P11,M,High,ROUE,751.241,875.454,5.190,4.609,5.639,5.361,-3.206,-3.487,-2.004,-4.079,8.396,8.096,7.643,9.440,5.176,5.240,6.775,3.536,12.210,11.647,12.288,12.709,22.993,21.212,22.076,25.701,14.209,12.896,12.971,16.769,19.201,18.038,21.084,18.632,150.253,150.997,151.122,148.664,0.781,0.778,0.770,0.796,178.085,172.471,185.395,176.212
French,S10,Reading,American,American,P13,M,High,RUE,976.473,1147.266,5.538,7.025,5.821,3.773,-3.578,-4.373,-4.001,-2.326,9.116,11.398,9.822,6.099,0.764,-0.873,-1.191,4.364,14.140,14.251,12.895,15.298,13.448,14.536,11.658,14.109,20.732,21.908,22.082,18.246,19.273,19.800,20.541,17.478,138.905,141.502,137.489,137.719,0.795,0.804,0.806,0.775,155.798,164.468,157.004,145.921
French,S10,Reading,American,American,P14,M,High,IL,1112.081,1196.120,4.730,1.728,6.511,6.049,-4.618,-5.010,-1.972,-6.794,9.349,6.738,8.484,12.842,2.412,2.203,3.493,1.573,17.386,11.463,20.860,19.937,16.806,16.517,16.515,17.369,10.968,8.022,10.609,14.276,20.804,16.415,23.628,22.474,140.800,142.355,140.875,139.231,0.809,0.817,0.800,0.811,146.456,137.954,155.032,146.382
French,S10,Reading,American,American,P15,M,High,ROUE,912.251,979.016,3.982,-1.183,5.928,7.591,-6.023,-4.496,-4.634,-8.914,10.005,3.313,10.562,16.505,1.605,4.627,1.841,-1.736,14.739,10.161,16.995,17.444,26.663,20.948,28.308,31.121,14.327,8.181,15.332,19.849,20.213,17.662,21.141,21.986,150.596,158.273,147.557,145.477,0.775,0.778,0.783,0.764,190.270,192.186,185.218,193.352
French,S10,Reading,American,American,P16,M,Low,PLAT,868.541,1076.599,9.509,11.385,9.994,7.194,5.509,7.129,6.876,2.601,4.000,4.256,3.117,4.594,8.671,7.909,8.712,9.385,23.602,22.148,23.840,24.783,28.033,24.893,27.402,31.728,23.275,21.450,22.489,25.821,23.721,24.465,25.130,21.611,148.337,146.704,144.357,153.756,0.817,0.820,0.819,0.808,148.738,154.567,145.813,143.924
French,S10,Reading,American,American,P17,M,Low,PÂTE,903.610,1071.298,9.343,11.081,9.434,7.516,6.730,7.821,7.433,4.969,2.612,3.260,2.001,2.547,9.340,9.253,7.622,11.065,23.265,24.122,21.918,23.678,27.153,28.882,24.712,27.768,24.239,26.909,24.258,21.536,25.588,22.811,27.240,26.772,148.014,152.220,148.058,143.733,0.801,0.781,0.799,0.824,155.172,162.930,154.373,148.212
French,S10,Reading,American,American,P18,M,Low,PLAT,1012.146,1153.439,8.010,6.793,8.631,8.635,3.751,2.960,4.495,3.829,4.259,3.833,4.136,4.806,8.888,8.676,8.279,9.681,28.380,28.130,28.983,28.055,31.044,30.894,31.633,30.627,28.681,25.513,29.527,31.055,21.783,18.409,22.695,24.314,139.895,141.826,140.211,137.673,0.823,0.816,0.825,0.827,134.996,142.012,129.502,134.072
French,S10,Reading,American,American,P19,M,Low,PLAT,1025.961,1190.544,10.288,10.541,10.367,9.954,-1.461,-1.678,-0.398,-2.269,11.749,12.219,10.765,12.223,8.643,9.463,7.371,9.059,38.323,36.836,39.235,38.918,35.201,35.132,33.675,36.763,31.010,30.241,30.209,32.529,24.372,22.110,26.811,24.225,142.348,144.909,141.206,140.876,0.827,0.825,0.822,0.834,127.769,133.145,126.813,123.349
French,S10,Reading,American,American,P22,M,Low,PLAT,853.619,970.069,8.071,6.949,8.588,8.684,2.846,2.266,4.339,1.988,5.226,4.683,4.249,6.696,10.886,11.840,8.801,11.943,28.391,28.426,27.700,29.026,30.175,29.293,28.825,32.320,25.448,25.047,24.824,26.462,19.755,17.919,21.364,19.973,143.835,148.846,141.243,141.326,0.814,0.807,0.825,0.810,144.170,153.742,138.974,140.038
French,S10,Reading,American,American,P23,M,High,IL,764.978,865.902,7.408,4.762,9.019,8.570,-2.655,-4.100,-2.075,-1.766,10.063,8.862,11.094,10.336,1.941,-0.193,2.880,3.167,12.109,12.596,12.142,11.594,15.635,14.681,16.056,16.212,10.233,6.631,12.388,11.847,20.730,17.770,22.754,21.732,144.836,142.475,147.140,145.036,0.781,0.794,0.779,0.771,189.834,171.850,199.871,198.021
French,S10,Reading,American,American,P25,C,Low,PLAT,1140.627,1318.407,1.151,-1.246,0.958,3.759,11.574,7.419,14.351,13.028,-10.422,-8.665,-13.393,-9.269,10.628,8.742,10.874,12.301,23.683,18.430,25.171,27.517,21.190,15.045,23.741,24.880,17.403,13.811,17.801,20.663,20.423,16.297,21.175,23.841,78.727,87.412,73.399,75.235,0.867,0.871,0.856,0.876,121.954,124.624,120.605,120.764
French,S10,Reading,American,American,P26,C,High,IL,777.955,893.439,6.460,3.433,7.397,8.556,-3.094,-6.434,-2.542,-0.353,9.554,9.866,9.939,8.909,2.432,-0.757,3.211,4.822,19.635,14.856,20.767,23.242,23.751,19.552,26.342,25.384,13.452,10.599,14.863,14.870,20.221,17.707,20.525,22.335,136.414,134.293,137.041,137.971,0.818,0.823,0.818,0.813,141.816,133.928,145.305,146.305
French,S10,Reading,American,American,P27,M,Low,PLAT,892.824,1071.381,7.304,7.824,7.587,6.504,2.776,3.292,3.804,1.245,4.528,4.532,3.783,5.260,9.579,9.695,8.242,10.780,28.306,27.078,28.246,29.578,31.078,29.926,30.246,33.064,25.786,25.486,25.985,25.944,22.442,21.071,23.247,23.037,145.041,148.540,143.067,143.462,0.818,0.802,0.831,0.822,144.809,163.405,142.198,129.510
French,S10,Reading,American,American,P6,C,Low,PÂTE,970.054,1150.164,-1.270,0.187,0.323,-4.348,5.627,6.127,6.019,4.773,-6.898,-5.940,-5.696,-9.121,10.838,11.085,11.260,10.150,6.393,8.017,7.911,3.174,9.190,8.231,9.205,10.027,3.457,1.681,4.252,4.353,19.753,20.597,20.658,18.002,74.964,72.677,73.851,78.314,0.061,0.061,0,0,118.800,118.800,0,0
French,S10,Reading,American,American,P9,C,High,IL,810.871,975.454,2.736,3.412,3.766,1.026,-5.613,-6.141,-8.142,-2.573,8.349,9.553,11.908,3.599,-0.320,1.181,-2.848,0.681,9.708,11.824,12.430,4.861,18.668,20.160,18.810,17.027,13.580,12.895,16.134,11.746,16.694,17.131,17.942,15.003,135.713,140.516,128.051,138.448,0.833,0.803,0.841,0.862,144.261,137.671,148.880,146.840
English,S13,Reading,American,British,P1,M,Low,TRAP,960.609,1196.612,5.880,6.735,7.095,3.845,2.648,3.695,5.039,-0.722,3.231,3.039,2.056,4.567,7.361,6.986,7.736,7.358,23.142,20.896,25.387,23.163,25.733,20.721,32.160,24.349,27.890,24.645,31.773,27.303,24.227,23.627,26.339,22.732,169.089,170.533,157.634,178.901,0.407,0.453,0.380,0.392,180.799,195.456,169.583,178.328
English,S13,Reading,American,British,P11,M,High,KIT,729.143,912.620,5.004,4.061,7.110,3.916,-0.258,-2.270,3.849,-2.231,5.262,6.331,3.261,6.147,1.890,-1.894,5.029,2.553,12.943,10.045,15.314,13.438,8.611,6.657,11.046,8.196,18.831,14.178,19.855,22.407,22.103,20.358,23.154,22.831,174.212,186.647,168.180,167.765,0.507,0.424,0.440,0.647,190.381,248.506,184.100,145.207
English,S13,Reading,American,British,P13,M,High,FLEECE,896.249,1077.179,-0.085,-4.518,2.537,1.866,-1.486,-2.075,-1.801,-0.573,1.401,-2.444,4.338,2.439,3.575,3.315,3.426,3.982,13.147,4.923,20.075,14.726,9.863,7.821,11.431,10.388,5.336,1.299,6.135,8.676,20.767,18.220,22.439,21.703,180.281,189.327,169.031,182.047,0.632,0.626,0.644,0.624,193.653,212.149,191.070,180.731
English,S13,Reading,American,British,P14,M,High,KIT,1188.869,1375.001,7.005,7.656,8.428,4.979,0.577,-1.594,5.482,-2.072,6.429,9.250,2.946,7.051,2.534,-0.949,5.674,2.869,14.246,13.698,14.844,14.146,15.049,18.905,16.877,9.381,18.117,12.846,18.113,23.416,21.839,20.199,21.566,23.787,177.964,200.283,165.764,167.637,0.707,0.649,0.720,0.751,202.945,249.523,189.318,171.256
English,S13,Reading,American,British,P16,M,High,GOOSE,821.161,1070.894,4.979,4.290,4.857,5.798,4.132,9.300,4.566,-1.492,0.847,-5.010,0.291,7.290,6.244,7.073,6.607,5.036,10.847,1.721,13.367,17.448,15.551,13.413,11.005,22.248,17.544,10.528,16.841,25.275,24.158,25.045,25.403,22.048,186.996,182.056,179.772,199.142,0.579,0.595,0.597,0.546,235.114,249.235,236.213,219.895
English,S13,Reading,American,British,P19,M,High,GOOSE,540.591,761.018,8.057,9.361,7.988,6.832,-4.164,-5.859,-0.806,-5.814,12.221,15.220,8.794,12.646,2.495,-3.347,7.715,3.167,21.494,22.366,23.312,18.945,27.097,23.899,29.432,27.991,22.348,20.201,23.602,23.245,23.037,22.152,24.595,22.371,177.686,184.189,165.300,183.550,0.478,0.507,0.419,0.506,257.253,314.578,249.244,207.828
English,S13,Reading,American,British,P2,M,High,KIT,951.481,1091.536,5.623,5.853,6.532,4.524,0.246,-1.136,4.433,-2.407,5.376,6.990,2.099,6.931,3.484,-0.052,6.700,3.894,16.540,17.761,16.333,15.606,11.212,14.328,10.611,8.700,17.839,16.012,16.623,20.875,22.940,20.987,25.598,22.321,178.302,190.184,178.982,165.803,0.743,0.655,0.788,0.787,143.915,160.298,135.726,135.547
English,S13,Reading,American,British,P21,M,High,FLEECE,837.867,1034.086,0.498,-0.587,1.086,1.023,3.170,2.395,3.930,3.215,-2.672,-2.982,-2.844,-2.191,2.593,1.841,2.733,3.200,0.752,0.540,0.400,1.311,7.988,7.776,9.028,7.128,2.366,2.418,0.542,4.144,24.164,21.635,25.455,25.443,197.802,207.899,193.832,191.654,0.469,0.493,0.473,0.444,242.980,249.800,245.557,234.655
English,S13,Reading,American,British,P22,M,High,FLEECE,1300.690,1514.747,4.056,2.459,4.887,4.836,2.769,4.417,-1.025,4.847,1.287,-1.958,5.912,-0.011,3.807,3.449,3.612,4.370,11.234,5.018,20.641,8.280,10.598,8.683,13.683,9.513,5.557,4.106,5.663,6.873,22.720,20.909,23.177,24.068,189.894,203.802,173.719,191.780,0.508,0.546,0.486,0.496,266.619,280.900,243.732,276.231
English,S13,Reading,American,British,P23,M,High,GOOSE,914.553,1062.354,3.177,1.854,5.040,2.683,-6.484,-5.833,-5.742,-7.881,9.662,7.687,10.782,10.564,1.387,1.961,0.048,2.111,13.668,15.369,13.620,12.000,22.879,20.415,24.741,23.526,16.223,14.542,16.831,17.316,21.201,19.477,22.925,21.272,203.281,236.987,198.083,174.618,0.634,0.575,0.656,0.664,206.543,239.795,201.760,182.920
English,S13,Reading,American,British,P24,M,High,GOOSE,1290.141,1526.187,3.111,5.142,3.760,0.415,0.130,-0.870,0.301,0.987,2.981,6.013,3.459,-0.572,6.324,5.937,7.236,5.809,15.067,17.211,19.841,8.133,23.728,25.746,24.604,20.831,14.988,17.436,14.786,12.703,21.329,20.115,23.284,20.621,189.031,182.403,181.353,203.348,0.553,0.648,0.533,0.486,346.729,401.059,344.532,298.724
English,S13,Reading,American,British,P25,M,High,FLEECE,1159.529,1335.361,2.717,0.641,4.055,3.471,-3.618,-3.090,-3.517,-4.242,6.334,3.730,7.572,7.712,3.540,3.019,2.920,4.665,17.237,15.755,18.411,17.591,14.417,13.820,14.667,14.774,10.040,9.508,7.424,13.142,22.333,21.395,23.318,22.342,172.480,176.848,167.822,172.735,0.577,0.553,0.588,0.589,214.617,232.122,219.772,193.232
English,S13,Reading,American,British,P26,M,High,FLEECE,1115.219,1319.083,0.499,-0.919,1.329,1.099,3.169,2.234,3.471,3.813,-2.670,-3.153,-2.142,-2.715,2.099,0.759,1.912,3.646,0.660,0.357,0.089,1.523,5.677,6.167,7.172,3.676,1.970,3.112,0.918,1.841,23.611,22.190,22.919,25.750,207.556,222.548,205.318,194.726,0.598,0.595,0.619,0.578,199.422,230.157,193.176,177.193
English,S13,Reading,American,British,P27,M,Low,LOT,1413.816,1649.597,2.421,1.052,4.719,1.511,-2.547,-4.029,1.164,-4.703,4.968,5.080,3.555,6.214,4.875,3.560,8.117,3.025,19.269,16.393,21.690,19.708,20.469,20.920,20.190,20.288,0.949,1.098,0.765,0.987,23.490,21.439,26.276,22.789,176.899,178.783,168.663,183.108,0.585,0.530,0.559,0.660,188.378,210.628,207.400,148.858
English,S13,Reading,American,British,P5,M,High,KIT,1258.823,1365.852,4.287,4.631,4.988,3.307,-0.155,-2.534,3.781,-1.580,4.442,7.165,1.207,4.888,4.167,0.454,7.502,4.595,15.229,18.657,13.010,14.111,15.221,16.830,17.675,11.288,17.020,18.722,13.574,18.665,21.498,21.770,22.765,20.015,182.366,189.746,176.929,180.441,0.419,0.438,0.415,0.406,224.939,261.210,199.019,220.509
English,S13,Reading,American,British,P6,C,Low,TRAP,1380.529,1615.451,4.143,4.545,5.477,2.435,1.081,3.326,3.198,-3.230,3.062,1.219,2.279,5.665,9.273,9.953,9.726,8.164,23.236,19.421,24.704,25.605,26.141,22.385,28.606,27.480,21.699,20.133,24.865,20.160,21.718,21.809,22.352,21.046,153.117,159.017,141.368,158.681,0.591,0.488,0.656,0.619,94.706,120.892,94.408,71.173
English,S13,Reading,American,British,P7,M,High,FLEECE,1260.454,1480.882,2.026,2.162,2.202,1.741,0.501,3.646,3.024,-5.089,1.525,-1.485,-0.822,6.830,3.205,3.709,3.955,1.984,10.677,6.697,6.167,19.122,10.112,7.343,8.395,14.553,4.148,4.999,0.554,6.795,23.762,20.851,24.022,26.391,180.729,198.490,178.316,165.317,0.704,0.720,0.695,0.698,182.151,222.925,191.086,136.788
French,S13,Reading,American,British,P1,M,Low,PLAT,981.184,1279.325,7.400,8.700,8.746,4.771,1.265,4.654,3.975,-4.822,6.135,4.045,4.770,9.593,6.880,8.953,10.362,1.323,23.361,25.436,25.658,19.012,28.468,26.822,31.938,26.706,21.099,25.538,24.797,12.964,23.899,24.005,25.384,22.328,184.345,161.727,180.416,211.061,0.590,0.563,0.635,0.571,207.213,175.676,233.286,212.309
French,S13,Reading,American,British,P10,M,High,RUE,1123.551,1246.101,9.301,9.104,9.302,9.504,-0.029,2.888,-0.074,-2.889,9.330,6.215,9.375,12.393,-0.683,-1.087,0.017,-0.995,18.796,13.911,20.447,22.005,21.042,18.862,20.822,23.422,10.945,10.327,10.676,11.820,25.706,22.956,28.102,26.108,166.053,167.151,167.049,164.020,0.698,0.711,0.694,0.690,390.527,408.002,388.783,374.795
French,S13,Reading,American,British,P11,M,High,ROUE,857.925,981.358,5.530,4.421,6.445,5.766,-0.243,1.711,1.038,-3.446,5.773,2.710,5.407,9.212,4.124,5.063,5.833,1.518,11.882,15.149,10.665,9.813,22.910,21.250,21.688,25.705,10.035,2.306,11.542,16.224,18.555,16.480,17.814,21.340,154.786,159.981,155.571,148.835,0.757,0.698,0.812,0.763,197.047,204.400,198.690,187.871
French,S13,Reading,American,British,P13,M,High,RUE,1327.499,1528.369,2.806,3.608,3.542,1.284,-1.974,-2.154,-4.429,0.602,4.779,5.761,7.972,0.682,3.743,4.545,2.769,3.890,13.748,12.439,16.297,12.612,11.844,11.193,9.911,14.429,15.563,15.740,18.731,12.291,22.348,21.070,25.095,20.930,187.144,166.255,179.083,215.952,0.564,0.633,0.498,0.560,189.819,143.218,188.343,237.201
French,S13,Reading,American,British,P14,M,High,IL,1033.464,1127.967,3.104,-1.319,4.513,6.200,-0.714,0.192,-1.071,-1.239,3.818,-1.510,5.584,7.438,4.529,4.160,5.190,4.298,11.009,3.705,13.935,15.532,18.682,14.563,21.781,19.812,8.117,1.244,9.611,13.566,17.109,14.599,16.435,20.240,165.698,156.938,168.736,171.654,0.586,0.568,0.619,0.570,221.040,198.206,222.934,241.919
French,S13,Reading,American,British,P15,M,High,ROUE,920.332,1000.049,-1.189,-8.376,1.713,3.405,-7.693,-10.290,-6.644,-6.010,6.504,1.914,8.357,9.415,4.423,3.656,5.645,4.106,11.140,9.461,12.078,12.018,25.717,20.355,28.664,28.403,12.153,7.712,13.280,15.590,18.261,14.525,18.365,21.963,170.287,178.681,166.345,165.421,0.556,0.566,0.552,0.554,239.663,241.929,225.726,252.174
French,S13,Reading,American,British,P16,M,Low,PLAT,878.499,1042.434,11.456,10.836,12.341,11.212,7.574,5.907,9.045,7.825,3.881,4.929,3.297,3.386,12.367,10.407,11.590,15.138,26.691,23.104,28.618,28.424,32.631,27.606,35.219,35.163,28.178,24.203,29.593,30.772,23.167,22.636,23.838,23.087,161.619,165.192,159.692,159.899,0.554,0.525,0.571,0.567,292.312,299.033,288.104,289.724
French,S13,Reading,American,British,P17,M,Low,PÂTE,917.360,1099.938,8.483,10.500,8.031,6.917,5.360,6.336,5.388,4.363,3.123,4.164,2.642,2.555,11.916,11.144,11.246,13.330,29.108,28.124,30.739,28.495,35.050,37.202,34.856,33.065,29.334,27.845,32.069,28.146,23.800,21.977,25.165,24.268,151.146,156.228,148.369,148.769,0.502,0.541,0.487,0.478,225.241,263.674,209.949,201.715
French,S13,Reading,American,British,P18,M,Low,PLAT,1048.531,1213.109,8.251,8.285,9.218,7.283,3.740,3.682,6.441,1.187,4.511,4.603,2.777,6.095,8.306,8.330,10.445,6.283,22.683,22.575,25.821,19.720,26.227,26.195,29.270,23.281,19.769,18.388,25.275,15.732,25.896,24.293,28.248,25.178,185.075,179.843,178.471,196.677,0.624,0.665,0.615,0.598,188.173,208.190,177.958,180.920
French,S13,Reading,American,British,P19,M,Low,PLAT,1053.347,1207.638,7.276,7.386,6.998,7.434,7.480,7.093,8.609,6.798,-0.204,0.293,-1.612,0.635,-9.973,-9.991,-11.558,-8.469,13.683,14.241,11.612,15.131,8.430,10.341,4.707,10.067,4.298,4.358,2.963,5.476,24.404,22.578,25.851,24.842,174.204,173.718,174.932,173.982,0.703,0.778,0.668,0.663,271.073,224.369,297.262,291.075
French,S13,Reading,American,British,P22,M,Low,PLAT,1258.030,1438.036,10.584,10.560,12.092,9.148,5.058,4.174,7.848,3.239,5.527,6.386,4.245,5.909,8.549,12.000,7.675,6.001,25.198,29.524,26.117,19.958,29.942,34.265,31.796,23.802,26.854,30.585,30.668,19.406,24.717,21.841,28.274,24.129,185.896,188.253,180.983,188.331,0.606,0.679,0.607,0.539,289.751,326.813,253.827,292.938
French,S13,Reading,American,British,P23,M,High,IL,1014.091,1116.053,1.583,1.006,2.677,1.130,2.099,2.235,3.826,0.307,-0.516,-1.229,-1.149,0.823,3.675,2.629,4.392,4.039,6.342,1.431,5.137,12.451,14.347,14.754,13.401,14.905,3.853,-0.167,2.097,9.573,18.778,16.035,20.472,19.915,173.804,170.607,175.947,174.993,0.537,0.590,0.546,0.475,274.837,270.250,287.409,266.853
